서울,부산,울산,인천,대전,광주,대구,경기도,강원도,충청북도,충청남도,경상북도,경상남도,전라북도,전라남도,제주,세종
노원구,강서구,남구,강화군,대덕구,광산구,남구,연천군,철원군,단양군,태안군,울진군,거창군,군산시,영광군,제주시,
도봉구,금정구,동구,계양구,동구,남구,달서구,파주시,화천군,제천시,서산시,봉화군,함양군,익산시,장성군,서귀포시,
강북구,기장군,북구,남동구,유성구,북구,동구,동두천시,양구군,충주시,당진군,영주시,합천군,완주군,담양군,,
성북구,남구,중구,동구,중구,동구,북구,포천시,인제군,음성군,아산시,예천군,창녕군,진안군,곡성군,,
은평구,동구,울주군,미추홀구,서구,서구,달성군,양주시,고성군,진천군,천안시,문경시,밀양시,무주군,구례군,,
종로구,동래구,,부평구,,,서구,의정부시,속초시,증평군,예산군,상주시,양산시,전주시,함평군,,
서대문구,부산진구,,서구,,,수성구,고양시,양양군,괴산군,홍성군,안동시,의령군,김제시,무안군,,
마포구,북구,,연수구,,,중구,김포시,춘천시,청주시,청양군,영양군,산청군,부안군,나주시,,
중구,사상구,,옹진군,,,,가평군,홍천군,보은군,공주시,영덕군,하동군,장수군,화순군,,
용산구,사하구,,중구,,,,남양주시,강릉시,옥천군,보령시,청송군,진주시,정읍시,순천시,,
성동구,서구,,,,,,구리시,평창군,영동군,부여군,의성군,함찬군,임실군,광양시,,
광진구,수영구,,,,,,하남시,횡성군,,서천군,김천시,창원시,고창군,목포시,,
중량구,연제구,,,,,,양평군,원주시,,논산시,구미시,김해시,순창군,영암군,,
강동구,영도구,,,,,,광주시,영월군,,계룡시,군위군,함안군,남원시,장흥군,,
송파구,중구,,,,,,성남시,정선군,,금산군,포항시,진주시,,보성군,,
강남구,해운대구,,,,,,과천시,동해시,,,성주군,하동군,,여수시,,
서초구,,,,,,,안양시,태백시,,,칠곡군,사천시,,강진군,,
동작구,,,,,,,광명시,삼척시,,,영천시,고성군,,해남군,,
관악구,,,,,,,부천시,,,,경산시,남해군,,고흥군,,
영등포구,,,,,,,시흥시,,,,경주시,통영시,,진도군,,
금천구,,,,,,,군포시,,,,고령군,거제시,,완도군,,
양천구,,,,,,,안산시,,,,청도군,,,,,
구로구,,,,,,,의왕시,,,,울릉군,,,,,
강서구,,,,,,,수원시,,,,독도,,,,,
,,,,,,,화성시,,,,,,,,,
,,,,,,,평택시,,,,,,,,,
,,,,,,,오산시,,,,,,,,,
,,,,,,,안성시,,,,,,,,,
,,,,,,,용인시,,,,,,,,,
,,,,,,,이천시,,,,,,,,,
,,,,,,,여주시,,,,,,,,,
